Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
244.00,29.577,150.3695,5.084
244.20,37.395,190.4153,5.092
244.40,27.618,140.5756,5.09
244.60,28.744,146.3644,5.092
244.80,27.543,140.1388,5.088
245.00,29.595,150.6385,5.09
245.20,37.34,190.0606,5.09
245.40,27.629,140.5763,5.088
245.60,28.746,146.6046,5.1
245.80,27.582,140.5579,5.096
246.00,29.635,150.6051,5.082
246.20,37.33,189.935,5.088
246.40,27.631,140.6971,5.092
246.60,28.77,146.3818,5.088
246.80,27.579,140.3771,5.09
247.00,29.679,150.7693,5.08
247.20,37.257,189.4891,5.086
247.40,27.61,140.4797,5.088
247.60,28.763,146.3461,5.088
247.80,27.61,140.7006,5.096
248.00,29.754,151.3288,5.086
248.20,37.227,189.6343,5.094
248.40,28.72,146.472,5.1
248.60,27.556,140.5356,5.1
248.80,29.799,151.6769,5.09
249.00,37.186,189.5742,5.098
249.20,27.639,140.7931,5.094
249.40,28.703,146.1557,5.092
249.60,27.606,140.625,5.094
249.80,29.813,151.5693,5.084
250.00,37.162,189.1546,5.09
250.20,27.637,140.9487,5.1
250.40,28.762,146.3986,5.09
250.60,27.628,140.5713,5.088
250.80,29.852,151.5885,5.078
251.00,37.086,188.8419,5.092
251.20,27.643,140.6476,5.088
251.40,28.733,146.1935,5.088
251.60,27.618,140.7413,5.096
251.80,29.918,152.4023,5.094
252.00,37.027,188.8377,5.1
252.20,27.643,140.924,5.098
252.40,28.699,146.0205,5.088
252.60,27.587,140.6937,5.1
252.80,29.996,152.6196,5.088
253.00,36.946,187.9812,5.088
253.20,27.656,141.1009,5.102
253.40,28.743,146.3594,5.092
253.60,27.583,140.563,5.096
253.80,30.017,152.6064,5.084
254.00,36.884,188.1822,5.102
254.20,27.587,140.6937,5.1
254.40,28.733,146.3084,5.092
254.60,27.574,140.3517,5.09
254.80,30.044,152.924,5.09
255.00,36.883,187.882,5.094
255.20,27.623,140.6011,5.09
255.40,28.682,145.9914,5.09
255.60,27.562,140.3457,5.092
255.80,30.103,152.863,5.078
256.00,36.824,187.3605,5.088
256.20,27.598,140.805,5.102
256.40,28.713,146.3789,5.098
256.60,27.576,140.6376,5.1
256.80,30.127,153.1657,5.084
257.00,36.793,187.5707,5.098
